ID,Question,Ground Truth Chunk,Reference Answer,Gold_Chunk
28,Describe arts and crafts of the later vedic period,Chapter_13,"There was large diversity of arts and crafts in late vedic period. There were smiths and smelters who used to work with iron and coppers. Weaving was mostly confined to women but produced in scale. Leather work, pottery, and carpentry also made great progress. There were four types of pottery associated with the late Vedic period - Black and red ware, black slipped ware, painted grey ware, and red-ware. The last type was most popular, and is found almost all over western UP. Howeve the most distinctive pottery of the period is known as Painted Grey Ware. It consisted of bowls and dishes, and these were either used for rituals or for eating or both.  Glass hoards and bangles were also found in the PGW latyers.",Chapter13_12
29,What were the five doctrines of Jainsim?,Chapter_14,"Jainism taught five doctrines : i) doJainism taught five doctrines: (i) do not commit violence, (ii) do not tell a lie,
(iii) do not steal, (iv) do not hoard, and (v) observe continence (brahmacharya).",Chapter14_13
30,Who was Gautama Buddha?,Chapter_14,"Gautam Buddh, or Siddhartha was the founder of the Buddhism. He was born in 567 BC in a Shakya Kshatriya family Lumbini in Nepal near Kapilavastu, which is identified with Piprahwa in Basti district and is close to the foothills of Nepal. From the early childhood he showed a meditative bent of mind. He was married early, but he was not interested in married life. He was deeply touched by seeing miseries of people in the workd and sought solution. He left the house at the age of 29. He wandered several places before attaining enlightenment at the age of 35 at Bodh-Gaya under a pipal tree. From this time onwards he began to be called as Buddha or the enlightened one. After that he spread the doctrines of Buddhism","Chapter14_21, Chapter14_20, Chapter_22"
31,What were the main philosophy of Buddhism?,Chapter_14,"Buddhism accepts that the world was full of sorrows and people suffered on account of desires. On conquerring of the desires, nirvana is attained, and the man is free from the cycle of birth and death.","Chapter14_23, Chapter14_24"
32,What led to large states?,Chapter_15,Increasing use of iron in eastern UP and western Bihar created conditions for large territorial states. The iron weapons enabled the warrior class to play an important role. The technological advancement in agriculture also increased productivity and therefore surplus. The princes collected the surplus to fund their military and administration. These enabled these princes to expand at the cost of their neighbouring areas. ,Chapter15_1
33,what was the capital of the kingdom of Kashi?,Chapter_15,The capital of the kingdom of Kashi was Varanasi.,Chapter15_4
34,What area of Indian subcontinent was under the control the Iranians,Chapter_16,"The area including Sindh, the north-west frontier, and the poar of the Punjab that was west of Indus were part of the Iranian satrapy.","Chapter16_1, Chapter16_2"
35,Why did Alexandar not invade India?,Chapter_16,"The Alexandar did not move further east because his army refused to accompany him. The Greek soldiers were tired wear and were sick. The hot climate of India and ten years of continuous campaigning had made them terribly homesick. In the battle with Porus, they experienced the Indian fighting qualities which were far superior compared to others. Furthermore they were aware of a formidable force in the bank of Ganges which was the Magadha ruled by the Nandas. All of these factors compelled Alaxandar to retreat.","Chapter16_6, Chapter16_7"
36,How was the Magadha army during the time of Alexandar's invasion,Chapter_17,"There were 200000 infantry, 20000 cavalry, 2000 four-horse chariots and about 6000 elephants during the invasion of Alexandar in Magadha army.",Chapter17_19
37,What were the names of the republic states during Magadha times,Chapter_17,There were two republics Shakyas and Licchhavis,Chapter17_24
38,What was the origin of Chandragupta Maurya?,Chapter_18,"Chandragupta Maurya was from a common family. According to the brahmanical tradition, he was born of Mura, a shudra woman in the court of Nandas. However this is disputed as an earlier Buddhist tradition mentions Mauryas as the ruling clan of the little republic of Pipphalivana in the region of Gorakhpur.",Chapter18_1
39,How was the King Ashoka referred in his inscriptions? ,Chapter_18,"King Ashoka was refered as devanampiya piyadasi in his inscriptions which means dear to the gods, and good looking respectively.",Chapter18_10
40,What was the official language of the Satavahanas?,Chapter_21,The official language of the Satavahanas was Prakrit,Chapter21_21
41,what were the main kingdoms of the south India during the megalithic periods?,Chapter_22,"The Cholas, Pandyas and the Cheras (Keralaputras) were three major kingdoms of the late megalithic phase.",Chapter22_3
42,Explain the conquest of King Samudragupta,Chapter_24,"Samudragupta was son of Chandragupta I. He expanded the Gupta kingdom enormously. There are five group of territories conquered by Samudragupta. Group one includes the princes of the Ganga-Yamuna doab who were defeated and whose kingdoms were add to the empire. Group two includes the rulers ofthe eastern Himalayan states and some of the frontier states such as Nepal, Assam, and Bengal. It also covers some parts of Punjab. Group three includes the forest kingdoms situated in the Vindhya region. Group four included the twelve states of the eastern Deccan and the South India. And the five was the Shakas and Kushans, some of them ruling in Afghanistan. He was never defeated and because of his bravery he is called the Napoleon of India. He focibly unified India uner him.","Chapter24_5, Chapter24_6, Chapter24_7"
43,What was the capital of Harsha?,Chapter_27,The capital of Harsha was Kanauj,Chapter26_25
44,How was the law and order during Harsha's time?,Chapter_27,"During Harsha's reign, law and order was not well maintained. Hsuan Tsang himself was robbed of his belongings inspite of having royal patronage. But he also mentions about provision of severe punishments such as amputation of hand was there. However under the influence of Buddhism, the severity of punishment was mitigated.",Chapter26_30
45,Explain the Samkhya philosophy,Chapter_29,"Samkhya means count. Samkhya is a scientific and rational view of looking. It believes that the creation is more due to nature or prakiti than to God. Later, the purusha or spirit was also introdued. As per this view creation is attributed to both nature and the spirit. It believes that one can attain salvation through the acquisition of real knowledge. This knowledge can be learnt through perception, inference, and hearing.","Chapter29_2, Chapter29_3"
46,How one can attain salvation as per Yoga school?,Chapter_29,"As per Yoga school, salvation can be obtained through meditation and physical application. Practice of control over pleasure, sense and bodily organs is central to this. In order to attain salvation, physical exercise (asanas) and breathing exercise (pranayamas) are recommended","Chapter29_3, Chapter29_4"
47,What is the largest Buddhist temple in the world?,Chapter_30,Borobudur in Java is  the largest Buddhist temple in the world,Chapter31_59
48,What does Bhakti mean?,Chapter_31,Bhakti means that   people of made all kinds of offering to the god in return for which they receive the prasada or the favour of the God. This implied the total surrender of the devotees to their God.,"Chapter31_85, Chapter31_86"
49,What was Vaisheshika?,Chapter_29,"The Vaisheshika school gives importance to the discussion of material wlements. They pronounced the atom theory believing that all objects are made up of atoms. Thus it marked the begiining of physics in India. However, this scientific view was diluted by a belief in God and spiritualism",Chapter29_5
50,What are the Buddhists sites in Afghanistan?,Chapter_30,Begram and Bamiyan are two sites of Buddhism in Afghanistan where many stautes and monasteries have been discovereed.,Chapter31_4
